,ok,paused,deleted,error,error:ok
addValue,27,3,2,0,0.0
toolshed.g2.bx.psu.edu/repos/devteam/add_value/addValue/1.0.0,56,3,7,0,0.0
alphafold,0,0,0,1,10.0
alphafold_test,7,0,2,11,1.5714285714285714
toolshed.g2.bx.psu.edu/repos/galaxy-australia/alphafold2/alphafold/2.1.2+galaxy0,20,0,1,4,0.2
toolshed.g2.bx.psu.edu/repos/galaxy-australia/alphafold2/alphafold/2.1.2+galaxy1,14,0,0,9,0.6428571428571429
toolshed.g2.bx.psu.edu/repos/galaxy-australia/alphafold2/alphafold/2.1.2+galaxy2,0,0,1,2,20.0
toolshed.g2.bx.psu.edu/repos/galaxy-australia/alphafold2/alphafold/2.1.2+galaxy3,50,0,2,25,0.5
toolshed.g2.bx.psu.edu/repos/galaxy-australia/alphafold2/alphafold/2.1.2+galaxy4,105,0,11,38,0.3619047619047619
__APPLY_RULES__,2,0,0,0,0.0
barchart_gnuplot,14,0,4,1,0.07142857142857142
bed2gff1,21,1,0,0,0.0
bigwigtowig,0,0,0,2,20.0
__BUILD_LIST__,46,0,0,0,0.0
cat1,200,9,23,4,0.02
ChangeCase,28,0,2,0,0.0
